' WWSSN and GDSN stations: code, latitude, longitude, number, network, date on, date off
' networks: 0=WWSSN, 1=WWSSN and DWWSSN, 2=SRO/ASRO, 3=miscellaneous
aae   9.029   38.766   1  0  620514
aak  42.639   74.494   9  3 1645 elev
aam  42.300  -83.656   2  0  621008
ade -34.967  138.709   4  0  620401
afi -13.909 -171.777   5  1  620928
agd  11.529   42.824   1  3 450.0 m elev (Geoscope)
aku  65.687  -18.107   6  0  640723
alq  34.942 -106.458   7  1  611003
anmo 34.950 -106.460 201  2
anp  25.183  121.517 112  0  630304
ant -23.705  -70.415   9  0  621204
anto 39.870   32.790 202  2
aqu  42.350   13.417  10  0  620402
are -16.462  -71.491  11  0  620118
atl  33.433  -84.337  12  0  630614
atu  37.972   23.717  13  0  630316
bag  16.400  120.600  14  0  620305
bcao  4.430   18.540 203  2
bdf -15.664  -47.903  16  1  730901
bec  32.379  -64.681  15  0  611228
bhp   8.961  -79.558  17  0  611209  770208
bks  37.877 -122.235  18  0  620528
bla  37.211  -80.420  19  0  620826
boco  4.590  -74.040 204  2
bog   4.623  -74.065  21  0  620409
boz  45.600 -111.632  22  0  630829  680229
bul -20.143   28.613  23  0  630110
car  10.507  -66.927  24  0  620416
cay   4.948  -52.317   2  3  25.0 m elev (Geoscope)
ccg  77.167  -61.133  25  0  621208  630225
chg  18.790   98.977  26  0  630302
chto 18.790   98.977 205  2
cmc  67.833 -115.083  27  0  630407  690331
col  64.900 -147.793  28  1  640101
cop  55.683   12.433  29  0  
cor  44.586 -123.303  30  0
cta -20.088  146.254  31  0
ctao-20.088  146.254 206  2
dag  76.770  -18.655  79  0
dal  32.846  -96.784  32  0
dav   7.088  125.575  33  0
dug  40.195 -112.813  36  0
eil  29.550   34.950  34  0
esk  55.317   -3.205  38  0
flo  38.802  -90.370  39  0
fvm  37.984  -90.426  39  0
gac  45.700  -75.490 301  3
gdh  69.250  -53.533  40  1
geo  38.900  -77.067  41  0
gie  -0.733  -90.300  42  0
gol  39.700 -105.371  43  0
grfo 49.692   11.222 207  2
grm -33.313   26.573  37  0
gsc  35.302 -116.805  85  0
gua  13.538  144.912  44  0
gumo 13.590  144.870 208  2
hkc  22.304  114.172  45  0
hll -72.314  170.217  46  0
hlw  29.858   31.342  47  0
hnr  -9.432  159.947  48  0
hon  21.321 -158.008  53  1
how  22.417   88.309  49  0
hyb  17.417   78.553 199  0
inu  35.350  137.029   3  3 132.3 m elev (Geoscope)
ist  41.043   28.985  50  0
jas1 37.930 -120.420 209  2
jct  30.479  -99.802  35  0
jer  31.772   35.197  51  0
kaao 34.541   69.043 210  2
kbl  34.541   69.043  57  0
kbs  78.917   11.924  70  0
kev  69.756   27.012  52  1
kip  21.423 -158.015  53  0  70.0 m elev (Geoscope)
kod  10.233   77.467  54  0
kon  59.649    9.632  55  0
kono 59.649    9.632 211  2
krk  69.724   30.063 222  0
ktg  70.417  -21.983 100  0
lah  31.550   74.333  56  0
lem  -6.833  107.617  20  1
lon  46.750 -121.810  58  1
lor  47.267    3.851 126  0
lpa -34.909  -57.931  59  0
lpb -16.533  -68.098  60  0
lps  14.292  -89.162  61  0
lub  33.583 -101.867  63  0
majo 36.542  138.209 212  2
mal  36.727   -4.411  65  0
man  14.667  121.083  66  0
mat  36.542  138.209  64  0
mds  43.372  -89.760  67  0
mhi  36.300   59.494  71  0
mnn  44.914  -93.190  69  0
msh  36.311   59.588  71  0
mso  46.830 -113.941  22  0
mun -31.978  116.208  72  0
nai  -1.274   36.804  74  0
nat  -5.878  -35.285  73  0
ndi  28.683   77.200  75  0
nha  12.210  109.212  76  0
nil  33.650   73.252  56  0
nna -11.987  -76.842  78  0
nor  81.600  -16.683  79  0
nur  60.509   24.651  81  0
nwao-32.930  117.240 213  2
ogd  41.067  -74.617  82  0
oxf  34.512  -89.409  83  0
paf -49.351   70.213 999  3  17 m elev (Geoscope- Port Aux Francais, Kerguelen Islands)
pda  37.743  -25.662  84  0
pel -33.144  -70.685  98  0
pmg  -9.409  147.154  86  0
poo  18.533   73.850  87  0
pre -25.750   28.190  89  0
pto  41.139   -8.602  91  0
que  30.188   66.950  92  0
qui  -0.201  -78.500  93  0
rab  -4.192  152.171  94  0
rar -21.212 -159.773  95  0
rcd  44.075 -103.208  96  0
riv -33.829  151.158  97  0
rscp 35.600  -85.569 302  3 481 m elev (RSTN- Cumberland Plateau, Tennessee)
rsnt 62.480 -114.592 303  3  90 m elev (RSTN- Yellow Knife, NW Territory)
rsny 44.548  -74.530 304  3 351 m elev (RSTN- Adirondack, NY)
rson 50.859  -93.702 305  3 302 m elev (RSTN- Red Lake, Ontario)
rssd 44.120 -104.036 306  3
sba -77.850  166.767  99  0
scp  40.810  -77.869 101  1
scz  36.598 -121.403   5  3 261 m elev (Geoscope)
sdb -14.926   13.572  62  0
seo  37.567  126.967 102  0
sha  30.695  -88.140 103  0
shi  29.638   52.520 104  0
shio 25.567   91.883 214  2
shk  34.530  132.678 114  0
shl  25.567   91.883 105  0
sjg  18.112  -66.150 106  0
slr -25.735   28.282  89  1
sna -70.309   -2.325   8  0
sng   7.173  100.620  68  0
snzo-41.310  174.700 215  2
som -52.781  -69.242 107  0
spa -89.999    0.001 108  0
ssb  45.279    4.540   6  3 700.0 m elev (Geoscope)
stu  48.771    9.195 109  0
tab  38.067   46.327 110  0
tato 24.980  121.490 216  2
tau -42.910  147.320 113  1
tol  39.881   -4.049 115  1
tri  45.709   13.754 117  0
trn  10.650  -61.402 118  0
tuc  32.310 -110.782 119  0
ume  63.817   20.243 120  0
unm  19.329  -99.178 125  0   0.0 m elev (Geoscope also)
upa   8.982  -79.534  17  0
val  51.933  -10.250 121  0
wel -41.284  174.767 122  0
wes  42.385  -71.322 123  0
wfm  42.611  -71.491   8  3  87.5 m elev (Geoscope)
win -22.567   17.100 124  0
zobo-16.270  -68.130 217  2
zzz
